C1	bell
C2	black-hole
C3	blue-original-L
C4	flower_new
C5	overlapping-chain-links
C6	rectangle-chain
C7	scissors
C8	table2
C9	asterisk
C10	concentric_semicircles
C11	broken_heart
C12	diagonal-Ls
C13	eye
C14	diagonal-zigzag
C15	double_stairs
C16	bloody-sword
C17	orange-flat-original-L
C18	overlapping-reticles
C19	slide_with_arch
C20	rainbow-lasso
C21	spectacles
C22	smiley
C23	suspension_bridge
C24	cup
C25	music-notes
C26	rainbow-diagonal-stack
C27	funny-Ts
C28	duck
C29	tetris
C30	3d-triangle
C31	hot
C32	bigger-original-L
C33	connected_diamonds_with_missing_blocks
C34	complex_five
C35	strange-triangles
C36	street_lamps
C37	embedded_fives
C38	l-shape
C39	three-squares
C40	cross-stack
C41	multiple_concepts
C42	rubiks
C43	girl_with_frock
C44	hollow_diseased_rectangle
C45	u-3
C46	wtf
C47	staircase
C48	umbrella
C49	letter-cube
C50	3d-x_s
C51	interlocking-magnets
C52	hut_and_trees
C53	funny-cube
C54	3d-diagonals
C55	chains
C56	color-wheel
C57	four-three
C58	ducks_in_pool
C59	parallel-bars
C60	diagonal-2
C61	chair2
C62	chair3
C63	question
C64	torch
C65	superhero
C66	connected_triangles
C67	storm-cloud
C68	christmas-tree
C69	pickup_truck
C70	random_snake
C71	connected_rows_with_missing_blocks
C72	cat
C73	x_equals_y
C74	random_objects
C75	creative-five
C76	double_tripod
C77	3d-maze
C78	random_objects_2
C79	connected_crosses
C80	lunging-man
C81	cube-x
C82	eiffel-tower
C83	pyramid-table
C84	trident
C85	upvote
C86	butterfly
C87	sickles
C88	sun_and_birds
C89	m-and-m
C90	wind-farm
C91	castle
C92	cherries
C93	L-back-to-back
C94	disappearing-tunnel
C95	chimney
C96	four-corners
C97	omega-u-corner
C98	insects
C99	keys
C100	wannabe_olympic_rings
C101	connected_tunnels
C102	man_on_broom
C103	rotating_chair
C104	clothesline
C105	lol_ethylene
C106	minimal_tree
C107	colorful_alien
C108	illinois-i
C109	waving-flag
C110	color-loop
C111	color-cube
C112	color-spiral
C113	numbers
C114	e3
C115	hollow_stools
C116	diagonal_arch_and_triangle
C117	pyramid_with_horns
C118	random_objects_3
C119	funny_chair
C120	h_1_plus
C121	2d_giraffe
C122	funny_bird
C123	footballer
C124	connected_triangles_2
C125	fail_hourglass
C126	teapot
C127	backpack
C128	weird_chain
C129	rhombuses_with_ring
C130	differently_oriented_squares
C131	table_with_objects
C132	diagonal_slab_with_pattern
C133	adjacent_gates
C134	parachute
C135	bent-arrow
C136	waving-man
C137	no-u-turn
C138	color-Us
C139	minimalistic-mouse
C140	weird-rows
C141	dancing-banana
C142	potted-weeds
C143	drooping-flower
C144	curly-R
C145	pulse
C146	boxy-to-diagonal
C147	pi
C148	headphones
C149	drink-with-umbrella
C150	checkerboard
C151	hanger
C152	ballerina
C153	cursive-ok
C154	gateway-to-stairs
C155	sickles-difficult
C156	sun_and_birds-difficult
C157	butterfly-difficult
